independent continuant;cell;anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane
independent continuant;vegetal hemisphere;anatomical region that corresponds to the lower half of the embryo, which later is composed of the macromeres and the micromeres, and ultimately encompasses the endoderm and mesoderm
independent continuant;whole organism;anatomical structure that is an individual member of a species and consists of one cell or more
independent continuant;digestive system element;any of the organs or elements that are part of the digestive system
independent continuant;ventral skeletogenic mesenchyme chain;subpopulation of skeletogenic mesenchyme forming a chain on the oral (i.e. ventral) side of the embryo.
independent continuant;juvenile structure;any anatomical structure that is part of a juvenile
independent continuant;embryonic structure;any anatomical structure that is part of an embryo
independent continuant;fertilization envelope;a structure that lies outside the plasma membrane and surrounds the egg. the fertilization envelope forms from the vitelline membrane after fertilization as a result of cortical granule release
independent continuant;larval digestive system;organ system responsible for the food uptake and processing in the larva
independent continuant;pigment cell;a cell that contains red coloring matter
independent continuant;animal quartet;group of four cells of equal size forming the animal hemisphere of an eight-cell stage embryo
independent continuant;vegetal cortex;cell component comprising the outermost layer of the vegetal region of the oocyte. it consists of a phospholipid bilayer and associated proteins
independent continuant;mesomere;intermediate size blastomere forming the animal hemisphere of the cleaving embryo
independent continuant;embryonic skeletogenic mesenchyme;the embryonic tissue made up of loosely connected mesoderm cells that will produce all of the skeletal elements.
independent continuant;multicellular organism;anatomical structure that is an individual member of a species and consists of more than one cell
independent continuant;spermatozoid;a mature male germ cell
independent continuant;animal cortex;cell component comprising the outermost layer of the animal region of the oocyte. it consists of a phospholipid bilayer and associated proteins
independent continuant;adult skeletogenic mesenchyme;the mesenchyme cells that produce biomineralized elements (e.g., spines, test plates, and teeth) in the juvenile and adult.
independent continuant;germinal vesicle;the enlarged, fluid filled nucleus of a primary oocyte, the development of which is suspended in prophase i of the first meiotic division between embryohood and sexual maturity
independent continuant;acrosomal vesicle;an organelle that develops over the anterior half of the head in the spermatozoa
independent continuant;cytoplasm;all of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures
independent continuant;right lateral chain of skeletogenic mesenchyme;subpopulation of skeletogenic mesenchyme forming a chain along the blastocoel wall towards the animal pole on the right side of the embryo.
independent continuant;lateral field;the lateral field is located in the aboral ectoderm of the larva. it separates the anterior and posterior pairs of epaulettes
independent continuant;cell part;anatomical structure that is part of a cell and that has a granularity level equal to that of a protein complex or higher.
independent continuant;larval spicule;a triradiate or hexaradiate minute calcareous skeletal element that initiates most if not all skeletal structures found within the sea urchin embryo, larva and adult.
independent continuant;animal pole;the apical region of the animal hemisphere
independent continuant;ectoderm;primary germ layer that is the outer of the embryo's three germ layers and gives rise to epidermis and neural tissue.
independent continuant;digestive system;anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes.
independent continuant;left lateral field;the left lateral field is the lateral field located on the left side of the larva
independent continuant;embryonic skeletogenic mesenchyme syncytium;anatomical structure composed of skeletogenic mesenchyme cells that have fused to form a single syncytial network.
independent continuant;animal hemisphere;anatomical region that corresponds to the upper half of the embryo, which later is composed of the mesomeres, and ultimately encompasses the presumptive ectoderm
independent continuant;nucleus;a membrane-bounded organelle of in which chromosomes are housed and replicated. in most cells, it contains all of the cell's chromosomes except the organellar chromosomes, and is the site of rna synthesis and processing. in some specialized cell types, rna metabolism or dna replication may be absent
independent continuant;blastomere;an undifferentiated cell produced by early cleavages of the fertilized egg (zygote)
independent continuant;larval skeletogenic mesenchyme;the mesenchyme cells that produce new skeletal elements (i.e., the posterodorsal rods, dorsal arch, and preoral rods) in the larva after feeding begins
independent continuant;polar body;a small cell formed by the meiotic division of an oocyte
independent continuant;larval structure;any anatomical structure that is part of a larva
independent continuant;lateral chain of skeletogenic mesenchyme;subpopulation of skeletogenic mesenchyme forming a chain on either side of the developing digestive tract, along the blastocoel wall and towards the animal pole.
independent continuant;right ventrolateral skeletogenic mesenchyme cluster;subpopulation of skeletogenic mesenchyme forming a cluster (i.e. a group of cells) in the ventrolateral region of the embryo.
independent continuant;hemal system;the hemal system contains the blood. it is composed of a complex network of vessels mainly located around the gut.
independent continuant;embryo;anatomical entity that comprises the animal in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems
independent continuant;spermatozoid flagellum;a microtubule-based flagellum (or cilium) that is part of a sperm, a mature male germ cell that develops from a spermatid
independent continuant;equatorial pigment band;the subequatorial accumulation of pigment granules (the so-called pigment band ) in eggs or early stage embryos, which constitutes an unambiguous marker of animal-vegetal polarity
independent continuant;vegetal pole;the apical most region of the vegetal hemisphere. once cleavages have started the vegetal pole is characterized by the presence of the micromeres initially and then that of the small micromeres
independent continuant;endoskeleton;internal support structure of an animal composed of mineralized tissue. it gives shape, support and protection to the body.
independent continuant;spermatozoid head;the part of the late spermatid or spermatozoon that contains the nucleus and acrosome.
independent continuant;adult structure;any anatomical structure that is part of an adult
independent continuant;adult digestive system;anatomical system that processes ingested substances in the adult
independent continuant;presumptive neuron;a progenitor cell of the nervous system that will develop into a neuron
independent continuant;left lateral chain of skeletogenic mesenchyme;subpopulation of skeletogenic mesenchyme forming a chain along the blastocoel wall towards the animal pole on the left side of the embryo.
independent continuant;water vascular system;the water vascular system is a hydraulic system used by sea urchins for locomotion, food and waste transportation, and respiration. the system is composed of canals connecting numerous tube feet. 
independent continuant;reproductive system;anatomical system that has as its parts the organs concerned with reproduction, i.e. the male and female gonads.
independent continuant;larval nervous system;the sum of all the neural structures present in the larva
independent continuant;embryonic digestive system;the gastrointestinal tract that is being formed during embryonic development starting with the formation of the primitive gut tube (or archenteron)
independent continuant;dorsal skeletogenic mesenchyme chain;subpopulation of skeletogenic mesenchyme forming a chain on the aboral (i.e. dorsal) side of the embryo.
independent continuant;micromere;small blastomere of the vegetal hemisphere of the cleaving embryo located at to the vegetal pole
independent continuant;mature oocyte;a mature female gamet that has entered meiosis.
independent continuant;oocyte;a female haploid germ cell.
independent continuant;vegetal quartet;group of four cells of equal size forming the vegetal hemisphere of an eight-cell stage embryo
independent continuant;embryonic skeletogenic mesoderm;the subset of the embryonic mesoderm that will later give rise to the skeletogenic mesenchyme and embryonic skeleton.
independent continuant;embryonic nervous system;the sum of all the structures in the embryo that will develop into the larval nervous system
independent continuant;right lateral field;the right lateral field is the lateral field located on the right side of the larva
independent continuant;vestibular pore;opening located in the left lateral field
independent continuant;macromere;larger blastomere of the vegetal hemisphere of the cleaving embryo located below the equator
